Spotify ID;Artist IDs;Track Name;Album Name;Artist Name;Release Date;Duration (ms);Popularity;Date;Genres;Danceability;Energy;Key;Loudness;Mode;Speechiness;Acousticness;Instrumentalness;Liveness;Valence;Tempo;Time Signature
17zIQr0R5oOWf4XHcRPDL7;5W2dGRPmYetOpUIpErUtD3;Film;Film;Organize;2022-07-01;118285;49;2022;turkce drill,turkish hip hop;764;666;4;-8.39;0;188;302;0.0000557;77;684;140.128;4
6MnB500gDVMIiGJbhJZbDw;3BVPc9s4JXzM6O1InlLxED,0L3wrFI3QcbXAvFL7IaPQX;Benim İstanbul'um Sensin;Benim İstanbul'um Sensin;Mavi,Güneş;2022-02-11;164000;55;2022;new school turkce rap,turkce kadin rap;688;703;1;-7.545;1;0.0887;0.0594;0.000106;154;301;120.053;4
6gxLEbRJlorva6uVRW4gof;51DevdOxIJin6DB1FXJpD1;PAPARAZZI;PAPARAZZI;UZI;2021-11-19;164000;69;2022;turkish trap;854;796;9;-5.871;0;216;464;0.00000121;0.0684;382;109.995;4
7nJBXYIjC16eCzC4jw8Wiw;2y1VzMKAa5nmfXKtJL9jnj,0wCKNMsqYasJBFVagjay49;Imdat;Imdat;Murda,Hadise;2022-07-01;194609;58;2022;basshall,turkish hip hop,turkish trap,turkish deep house,turkish pop;965;338;9;-9.306;1;128;463;0.0000219;0.0636;961;130.002;4
1ftln1emQR93Oyw0pJqN2i;0Dvx6p8JDyzeOPGmaCIH1L,3CJKkU0XuElRT1z8rEtIYg;2CB;Zukunft 1 & 2;RAF Camora,Luciano;2021-10-01;172288;65;2022;german hip hop,german drill;0.82;725;10;-6.449;0;208;456;457;114;364;125.049;4
6AFIVhbJLR7YVvW9fLFMu1;6h1s4i4XKIYv4ErDelLDN0,4WZGDpNwrC0vNQyl9QzF7d;Huracan;Huracan;Samra,Capital Bra;2019-09-05;182238;50;2022;german hip hop;681;701;2;-5.192;0;442;388;0;132;518;170.072;4
70skoejqfxS3FyAb7kLxJO;5pVRwX5ZQR7hfJ18w8ZYkl,78wZzI7u1cOjXKuYzqZI6l;Zweifel;Nur für dich;Ufo361,Sonus030;2020-10-02;166177;48;2022;german cloud rap,german hip hop;543;566;6;-10.777;0;199;114;0.0000127;112;126;121.461;5
5h1Zdr8ghV5RaWjtdfVo8w;5wyWp867LWGjFmYZXVSFnZ,2y1VzMKAa5nmfXKtJL9jnj;Konum Gizli (feat. Murda);Konum Gizli (feat. Murda);MERO,Murda;2022-05-12;198581;65;2022;german hip hop,basshall,turkish hip hop,turkish trap;862;506;10;-8.651;0;267;0.0542;0.0000296;117;512;136.052;4
0y07MvJpFBuMEtsa0bIeJj;6sBSLIunx1Je0Y2T77wpkP;BANA GAYRET;22;Motive;2022-01-21;145822;56;2022;turkish hip hop,turkish trap;698;452;0;-9.565;1;192;0.16;0;0.12;0.36;79.009;4
7dFVvPxqk4O32ra3VjfUwU;51DevdOxIJin6DB1FXJpD1;UNUTTUM;EL CHAVO;UZI;2022-09-09;156636;62;2022;turkish trap;699;701;0;-6.966;1;245;0.0302;0.0000302;502;762;141.043;4
1Syhm4vkn6n2DYuFnyI60s;5pVRwX5ZQR7hfJ18w8ZYkl;Scheiß auf eure Party;Ich bin 2 Berliner;Ufo361;2016-09-30;220327;68;2022;german cloud rap,german hip hop;745;551;6;-9.058;0;235;0.05;0;105;0.15;122.011;4
5rufUNz0ysikbAFaLM1w78;50vzDEhi6E5LovC36ZFZvs;PER LA FAMILIA;PER LA FAMILIA;Fanatic;2022-06-29;130306;28;2022;;0.47;772;2;-6.533;1;452;295;0.000017;247;661;137.625;4
5gvEyl4OLhD6kJ3aZ43sd3;5344K3N7rx7kw1HjO8psuq;Heaven;Heaven;James Carter;2021-10-15;124655;63;2022;pop dance,uk dance;737;849;11;-6.071;0;35;0.0201;0.0000721;132;675;115.993;4
5HnGkcz5cGbJRRDe0648f9;7GaMopkesD4KK9dNbgyO5D,7HLErdUiPhh7mg5AxVEAX0,51DevdOxIJin6DB1FXJpD1,6sBSLIunx1Je0Y2T77wpkP,6I65kFgfXDWx56jwnip3TU;Turkish Nightmare (feat. Motive & Hayki);Turkish Nightmare (feat. Motive & Hayki);Eko Fresh,Killa Hakan,UZI,Motive,Hayki;2020-12-18;243250;48;2022;cologne hip hop,german hip hop,turkish hip hop,turkish trap;626;666;10;-6.071;0;291;211;0;153;477;90.577;4
5jIaEzm69OQiXgpJN3MSdo;2u4xMsh0M2B7R8Wb3pEWae,03cvjFEHz8eGwYHq1L0Pp2;Taksim;Taksim;Anıl Piyancı,Kaan Boşnak;2022-03-18;191460;43;2022;turkce drill,turkish hip hop,turkish trap,turkish alt pop,turkish rock;703;626;10;-8.043;0;201;279;0.000441;112;393;178.013;4
2VYtAJuuOr6RyOOggzSTIB;1k7Cc2WGh6LAE1TUh6dsiy,3zOUpziwcfY2bCh4VyJ4Am;Over & Over;Over & Over;Dark Heart,NJOMZA;2021-08-27;147110;59;2022;;774;825;6;-4.283;0;0.0536;286;0.000215;103;637;120.983;4
0GpwiBOL0bNvkouVvUoBZf;0V2oXYR7DtrZAEFeILRW2r;GÖRÜN NE HALİNİZ VARSA;C5MODE;Lvbel C5;2022-03-18;65687;55;2022;turkce drill,turkish hip hop,turkish trap;696;531;5;-10.087;1;0.0966;0.00437;0.00121;292;204;89.859;4
